Country,gdp,gdpPerCapita
Pacific Islands,35.262,3121.219
South America,3243.911,7524.973
South Asia,3722.847,2041.968
Southeast Asia,3329.543,4979.69
Sub-Saharan Africa (Region),1930.965,1721.086
Western Europe,19618.25,46141.079
Western Hemisphere (Region),30046.78,29663.776
ASEAN-5,2821.32,4828.211
Advanced economies,56086.68,52111.461
Emerging and Developing Asia,23288.32,6282.915
Emerging and Developing Europe,4095.052,10795.285
Emerging market and developing economies,38848.44,5845.095
Euro area,14518.47,42346.782
European Union,17078.38,38337.875
Latin America and the Caribbean,4984.638,7777.034
Major advanced economies (G7),42457.92,55163.546
Middle East and Central Asia,4598.192,5420.904
Other advanced economies,8402.036,48199.256
Sub-Saharan Africa,1882.229,1757.113
World,94935.11,12293.133
